Rx 0.256225 3 1 3 1054 504001
Rx 0.256225 3 1 3 1054 484001
Rx 0.256225 3 1 3 1054 464001
Rx 0.256225 3 1 3 1054 444001
Rx 0.256325 3 1 3 1054 524001
Rx 0.256325 3 1 3 1054 504001
Rx 0.256325 3 1 3 1054 484001
Rx 0.256325 3 1 3 1054 464001
Rx 0.256325 3 1 3 1054 444001
Tx 0.2564 3 1 1 50 
Tx 0.2564 3 1 1 50 
Rx 0.256425 3 1 3 1054 524001
Rx 0.256425 3 1 3 1054 504001
Rx 0.256425 3 1 3 1054 484001
Rx 0.256425 3 1 3 1054 464001
Rx 0.256425 3 1 3 1054 444001
Rx 0.256525 3 1 3 1054 524001
Rx 0.256525 3 1 3 1054 504001
Rx 0.256525 3 1 3 1054 484001
Rx 0.256525 3 1 3 1054 464001
Rx 0.256525 3 1 3 1054 444001
Rx 0.256625 3 1 3 1054 524001
Rx 0.256625 3 1 3 1054 504001
Rx 0.256625 3 1 3 1054 484001
Rx 0.256625 3 1 3 1054 464001
Rx 0.256625 3 1 3 1054 444001
Rx 0.256725 3 1 3 1054 524001
Rx 0.256725 3 1 3 1054 504001
Rx 0.256725 3 1 3 1054 484001
Rx 0.256725 3 1 3 1054 464001
Rx 0.256725 3 1 3 1054 444001
Rx 0.256825 3 1 3 1054 524001
Rx 0.256825 3 1 3 1054 504001
Rx 0.256825 3 1 3 1054 484001
Rx 0.256825 3 1 3 1054 464001
Rx 0.256825 3 1 3 1054 444001
Rx 0.259317 2 1 3 1054 515673
Rx 0.259317 2 1 3 1054 495673
Rx 0.259317 2 1 3 1054 475673
Rx 0.259317 2 1 3 1054 455673
Rx 0.259317 2 1 3 1054 435673
Rx 0.259417 2 1 3 1054 515673
Rx 0.259417 2 1 3 1054 495673
Rx 0.259417 2 1 3 1054 475673
Rx 0.259417 2 1 3 1054 455673
Rx 0.259417 2 1 3 1054 435673
Rx 0.259517 2 1 3 1054 515673
Rx 0.259517 2 1 3 1054 495673
Rx 0.259517 2 1 3 1054 475673
Rx 0.259517 2 1 3 1054 455673
Rx 0.259517 2 1 3 1054 435673
Rx 0.259617 2 1 3 1054 515673
Rx 0.259617 2 1 3 1054 495673
Rx 0.259617 2 1 3 1054 475673
Rx 0.259617 2 1 3 1054 455673
Rx 0.259617 2 1 3 1054 435673
Rx 0.259717 2 1 3 1054 515673
Rx 0.259717 2 1 3 1054 495673
Rx 0.259717 2 1 3 1054 475673
Rx 0.259717 2 1 3 1054 455673
Rx 0.259717 2 1 3 1054 435673
Rx 0.259817 2 1 3 1054 515673
Rx 0.259817 2 1 3 1054 495673
Rx 0.259817 2 1 3 1054 475673
Rx 0.259817 2 1 3 1054 455673
Rx 0.259817 2 1 3 1054 435673
Rx 0.259917 2 1 3 1054 515673
Rx 0.259917 2 1 3 1054 495673
Rx 0.259917 2 1 3 1054 475673
Rx 0.259917 2 1 3 1054 455673
Rx 0.259917 2 1 3 1054 435673
Rx 0.260017 2 1 3 1054 515673
Rx 0.260017 2 1 3 1054 495673
Rx 0.260017 2 1 3 1054 475673
Rx 0.260017 2 1 3 1054 455673
Rx 0.260017 2 1 3 1054 435673
Rx 0.260117 2 1 3 1054 515673
Rx 0.260117 2 1 3 1054 495673
Rx 0.260117 2 1 3 1054 475673
Rx 0.260117 2 1 3 1054 455673
Rx 0.260117 2 1 3 1054 435673
Rx 0.260217 2 1 3 1054 515673
Rx 0.260217 2 1 3 1054 495673
